read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,mapping_len
dee1bc26-8af8-407b-850b-721ae22da724,492,2021-05-20T12:19:39Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,13918,14299,363,371
297fdddf-2d19-4923-bb66-42fdb60f9647,496,2021-05-20T12:19:38Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26235,26591,318,327
f5a0a324-91b9-446d-84db-b522f7330f86,514,2021-05-20T12:19:40Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,10361,10764,394,399
1f49d7ff-3183-415a-9240-1a2419c8472c,525,2021-05-20T12:19:40Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,23442,23848,388,397
df4cc5ad-1a78-4556-8492-165483d7c0db,475,2021-05-20T12:19:41Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,11897,12256,338,346
045d1d42-0271-4c30-93a9-43824f4b53d0,509,2021-05-20T12:19:41Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,1573,1964,378,383
1894d4c7-84e0-4b2f-bd90-4d9b2745f8b2,500,2021-05-20T12:19:42Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,12113,12490,366,371
fce3e52d-702f-4428-bf59-b3efb25c6642,493,2021-05-20T12:19:42Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,4294,4689,374,380
e9debae6-fa49-47a1-b18c-16d2c84dfea9,482,2021-05-20T12:19:44Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,4053,4425,356,364
024c52c3-128a-44b6-933c-bdfb0ad0558b,464,2021-05-20T12:19:45Z,barcode15,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,19556,19900,326,336
