read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,mapping_len
124bc634-7f16-4ac9-8986-0acee4fb1ce5,507,2021-05-20T12:19:39Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,20171,20572,376,388
6e2b08cb-0197-4576-9c16-0e192897eba4,496,2021-05-20T12:19:39Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,8888,9273,371,376
7f964f35-7058-4ce6-a091-54213a3242a3,491,2021-05-20T12:19:39Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26838,27215,364,365
68e9dac2-eaf9-457a-ab19-cbb9b26dd9ac,492,2021-05-20T12:19:39Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,10075,10460,368,378
7494c525-883f-4a4a-8ebe-1c0031fde04a,486,2021-05-20T12:19:39Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,5257,5643,333,357
366cbc14-6cf1-4be9-b294-4781af011d92,489,2021-05-20T12:19:40Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26835,27215,335,362
45cb7604-892a-408c-a5b6-3594a84a001d,488,2021-05-20T12:19:41Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,1875,2264,382,385
3d75d7eb-05a3-4889-a274-73bebb3ced53,504,2021-05-20T12:19:40Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,13007,13401,383,391
115dcc89-d3aa-47ca-b1f0-de9e3b3b1312,507,2021-05-20T12:19:41Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,27446,27827,371,375
2b0c0245-0936-4cac-ac17-c9c2342eb281,529,2021-05-20T12:19:41Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,18895,19294,368,382
96ccb602-8e90-4db3-9ded-248e49d933f4,501,2021-05-20T12:19:42Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,24978,25369,376,380
38645e28-475c-4fd3-9c1f-d7bf6f2d7dba,516,2021-05-20T12:19:41Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,2503,2903,383,390
e44fe0c6-4eb3-41eb-b5df-6772a6b72e79,507,2021-05-20T12:19:44Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26520,26913,362,377
d9b80112-b124-42f4-bce1-ccd9a6352d31,294,2021-05-20T12:19:45Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,6168,6283,110,114
373109b2-e6d6-442d-a1b8-eac6d258d8b9,514,2021-05-20T12:19:45Z,barcode26,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26838,27227,385,386
