read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,mapping_len
49681d05-5384-4062-8792-81db03f375fb,514,2021-05-20T12:19:38Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,16118,16510,388,391
8ca7db8b-ea1b-4861-ac72-c2346bf0d7b8,506,2021-05-20T12:19:38Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26197,26571,350,363
22d11744-c8fb-4426-80d5-3663c9e9e24f,538,2021-05-20T12:19:38Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,20472,20884,385,397
baf7a030-a3f1-42e8-9750-ba32221b7dc5,501,2021-05-20T12:19:40Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,12110,12490,367,372
25afda32-8b09-477e-8c83-1e3ded5f8924,506,2021-05-20T12:19:40Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,24696,25076,373,375
bf79e4b5-b833-4677-9588-4c7e93001c31,511,2021-05-20T12:19:41Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,22515,22904,383,386
76009199-1bdf-479f-b906-bccf893777b8,371,2021-05-20T12:19:41Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26759,26913,149,151
c70f08c9-1677-4eef-a59e-0a2a7e176cab,514,2021-05-20T12:19:42Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,23442,23834,377,385
e932d285-e636-44d2-8e89-074b5c6d1e4f,505,2021-05-20T12:19:41Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,10075,10460,380,384
f2f5052c-894e-4707-94d1-e05614690773,507,2021-05-20T12:19:42Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,22515,22904,383,384
58342ff3-c1b0-406c-ae1d-05cb3d5d0b4b,559,2021-05-20T12:19:42Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,20472,20890,404,412
a282f4d9-bbfc-4da9-824f-c0bc36c25722,502,2021-05-20T12:19:44Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,24978,25369,368,376
d2c2a9d3-d3ef-4135-bc18-2e8facfed0a7,503,2021-05-20T12:19:45Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,4296,4689,360,375
e6e9da0b-99dc-48cb-80f6-57c034426974,488,2021-05-20T12:19:44Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,14864,15247,365,377
4eb89627-39fa-4575-b895-f8e4e9dce379,505,2021-05-20T12:19:47Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,1573,1964,365,384
3aca8102-628e-4e46-a046-45cf461636e7,505,2021-05-20T12:19:47Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,21960,22346,355,377
4d6ba954-546b-4a7e-a1a2-722c862942cc,477,2021-05-20T12:19:47Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,18597,18980,373,377
f6443743-e0b9-46e8-aa87-6f0702cc5d11,494,2021-05-20T12:19:47Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,15171,15560,371,377
f4cfa1d6-4361-4976-94a9-986cab65a623,497,2021-05-20T12:19:47Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,24394,24790,366,373
691503fc-3460-487d-81e3-4cd42f7832ef,520,2021-05-20T12:19:49Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,18895,19298,391,397
d3a479c9-4582-49fa-8c58-7230694d3527,535,2021-05-20T12:19:48Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,18253,18668,393,404
7c41a92f-9ec1-4e04-82e0-36367e9bdca0,515,2021-05-20T12:19:48Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,7942,8341,382,389
cbfd48f6-2043-4d6b-a180-14634996cdfd,501,2021-05-20T12:19:49Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,14545,14927,371,376
b0cc38fd-d6a0-4c12-8de0-96f9fcb933ed,534,2021-05-20T12:19:49Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,22798,23212,401,406
769b9c7d-feb4-41ca-bf05-aea0f342a53f,501,2021-05-20T12:20:03Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,10076,10460,371,376
1bd91262-e7b7-49d3-90a9-16bb1aac6ff7,513,2021-05-20T12:20:02Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,19567,19939,358,365
0e1ba95e-fcd0-4fa6-96cc-4bad5a5a66bb,516,2021-05-20T12:20:04Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,3459,3854,383,391
498a5d28-18da-4c8b-ab03-a4e185fcf9c8,530,2021-05-20T12:20:03Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,6469,6870,387,396
e1af5c34-560d-427d-b039-a90e9dbe8a78,505,2021-05-20T12:20:04Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,21961,22346,373,380
d63b1eb5-96c2-4628-a870-1b08a8f68bb9,503,2021-05-20T12:20:05Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,5257,5643,377,383
08e4e2b2-3911-4da3-a8ea-11c2138c6e4e,504,2021-05-20T12:20:06Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,18596,18977,365,372
73eaef63-6a8f-49cf-a765-c0e618e0c5a2,492,2021-05-20T12:20:07Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,28985,29379,357,368
b7636340-1f4c-4522-9a4d-f7a83591d17a,469,2021-05-20T12:20:08Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,14896,15247,340,344
fb82693b-e57b-4c56-b48f-58c701c75224,501,2021-05-20T12:20:09Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,9783,10089,292,296
6e983b4f-f933-4cf8-9295-c3eb0b1938e2,490,2021-05-20T12:20:09Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,17064,17452,371,380
d5f73036-6396-41e0-9007-e169ad06f068,474,2021-05-20T12:20:09Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,3461,3820,338,347
1d643884-a9a1-437f-92d3-0925848f3d74,476,2021-05-20T12:20:10Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,14914,15232,299,311
ed77bdb8-cd2d-44a9-b3fd-ebc567545c71,521,2021-05-20T12:20:12Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,27446,27850,403,403
1e279724-c11f-4913-a625-450b3f1160fd,480,2021-05-20T12:20:12Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,26835,27215,371,374
66e7eaf2-caf4-4cf3-b6db-a598f4fa6266,523,2021-05-20T12:20:26Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,944,1337,385,389
6e6c0de3-517d-4f3f-a7ab-bb767f4ddacd,493,2021-05-20T12:20:26Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,13007,13377,353,365
ec2aa0ae-98cc-49c7-b12e-0e62d18ed382,500,2021-05-20T12:20:27Z,barcode28,nCoV2019|Wuhan-Hu-1|MN908947|China|Wuhan|2019-12,29904,17064,17442,368,368
